N,X,Y
"608",120.900534,24.279191
"609",120.900656,24.279165
"610",120.852855,24.155766
"611",120.852994,24.155724
"612",120.836859,24.230190
"613",120.836893,24.230013
"614",121.015891,24.209717
"615",121.015176,24.209925
"616",120.904816,24.285226
"617",120.905130,24.285641
"618",120.873384,24.259026
"619",120.853921,24.258247
"620",120.839224,24.267571
"621",120.845691,24.146882
"622",120.845792,24.146652
"623",120.842510,24.168743
"624",120.834831,24.264279
"625",120.834965,24.264318
"626",120.860482,24.161269
"627",120.848091,24.254366
"628",120.848353,24.254401
"629",120.835962,24.171528
"630",120.838569,24.172228
"631",120.839290,24.211114
"632",120.839382,24.210899
"633",120.878860,24.173710
"634",120.878956,24.173756
"635",120.934975,24.173868
"636",120.933777,24.174129
"637",120.961418,24.170489
"638",120.961555,24.170783
"639",120.847493,24.141234
"640",120.847541,24.141532
"641",120.833232,24.263042
"642",120.832712,24.262745
"643",120.876490,24.124122
"644",120.876239,24.124462
"645",120.888426,24.115431
"646",120.888392,24.115330
"647",121.037711,24.213819
"648",120.839388,24.211105
"649",120.889001,24.103176
"650",120.861963,24.160461
"651",120.834458,24.164949
"652",120.855100,24.155105
"653",120.855232,24.155118
"654",120.867346,24.285124
"655",120.867610,24.285191
"656",120.838159,24.161899
"657",120.840668,24.170847
"658",120.840957,24.170521
"659",120.880499,24.174882
"660",120.881520,24.175311
"661",120.849288,24.190306
"662",120.849513,24.190234
"663",120.839381,24.192248
"664",120.839351,24.191896
"665",121.015139,24.209819
"666",121.015859,24.209615
"667",120.891254,24.173669
"668",120.890418,24.173738
"669",120.889290,24.113208
"670",120.860419,24.278886
"671",120.849968,24.273157
"672",120.889113,24.099490
"673",120.853995,24.155415
"674",120.854088,24.155384
"675",120.909868,24.176987
"676",120.909974,24.177193
"677",120.927896,24.180276
"678",120.925573,24.182334
"679",120.927643,24.180405
"680",120.919116,24.187149
"681",120.918996,24.187196
"682",120.992681,24.193600
"683",120.992775,24.193757
"684",121.000088,24.199553
"685",121.001407,24.200427
"686",121.031777,24.209978
"687",120.913314,24.186010
"688",120.913558,24.186533
"689",120.984108,24.184300
"690",120.984673,24.184615
"691",121.034575,24.211212
"692",121.037119,24.213029
"693",121.011563,24.202274
"694",121.096382,24.241613
"695",121.096783,24.241574
"696",121.088309,24.237611
"697",121.055868,24.222217
"698",121.055699,24.222221
"699",121.229446,24.239133
"700",121.235899,24.247687
"701",121.182903,24.254901
"702",121.182444,24.254275
"703",120.911779,24.292572
"704",120.911613,24.292515
"705",120.911910,24.293454
"706",120.911220,24.293922
"707",120.924009,24.296578
"708",120.924523,24.297428
"709",120.924390,24.305592
"710",120.924379,24.305732
"711",120.923982,24.319096
"712",120.923972,24.318941
"713",121.315652,24.344346
"714",121.325388,24.348923
"715",121.325810,24.356334
"716",121.325719,24.356634
"717",121.340305,24.369362
"718",121.337314,24.366258
"719",121.343783,24.380438
"720",121.343860,24.380459
"721",121.352347,24.391266
"722",121.352410,24.391336
"723",121.346711,24.382924
"724",121.346794,24.383092
"725",121.052991,24.224270
"726",121.050725,24.223661
"727",121.057666,24.223732
"728",121.101055,24.248055
"729",121.101151,24.247705
"730",121.101287,24.247431
"731",121.101487,24.247105
"732",121.101658,24.246669
"733",121.170926,24.251676
"734",120.888083,24.096802
"735",120.889862,24.102891
"736",120.890492,24.104314
"737",120.891511,24.110060
"738",120.889303,24.113331
"739",120.888528,24.115216
"740",120.889173,24.115651
"741",120.879993,24.123932
"742",120.878554,24.123977
"743",120.876210,24.124691
"744",120.838623,24.124524
"745",120.878905,24.128343
"746",120.881259,24.129190
"747",120.881810,24.128660
"748",120.841504,24.130327
"749",120.841837,24.130552
"750",120.879128,24.130221
"751",120.880628,24.131480
"752",120.878920,24.131531
"753",120.876313,24.131891
"754",120.879515,24.131990
"755",120.842877,24.132112
"756",120.878592,24.132271
"757",120.875570,24.132638
"758",120.874989,24.132895
"759",120.874918,24.133323
"760",120.844968,24.134352
"761",120.874136,24.134499
"762",120.875267,24.135901
"763",120.876285,24.136053
"764",120.875795,24.138783
"765",120.876379,24.139351
"766",120.875846,24.140378
"767",120.847573,24.140694
"768",120.875999,24.140845
"769",120.875984,24.140893
"770",120.875454,24.143399
"771",120.869855,24.144864
"772",120.869759,24.144807
"773",120.876031,24.144924
"774",120.846225,24.145565
"775",120.876530,24.146366
"776",120.845437,24.147809
"777",120.878023,24.148761
"778",120.844059,24.149057
"779",120.877514,24.149282
"780",120.876984,24.150253
"781",120.876973,24.151100
"782",120.873718,24.151887
"783",120.840331,24.152245
"784",120.877311,24.153391
"785",120.838228,24.153610
"786",120.876109,24.155460
"787",120.875471,24.155714
"788",120.861500,24.155930
"789",120.864232,24.156993
"790",120.866094,24.158154
"791",120.866008,24.158635
"792",120.869021,24.158915
"793",120.863666,24.158956
"794",120.867205,24.159084
"795",120.862619,24.159731
"796",120.855042,24.161221
"797",120.851013,24.162255
"798",120.860630,24.162530
"799",120.847237,24.162932
"800",120.834417,24.165135
"801",120.865960,24.166350
"802",120.842865,24.166600
"803",120.947031,24.166748
"804",120.946303,24.166717
"805",120.947456,24.166758
"806",120.947845,24.166769
"807",120.947857,24.166432
"808",120.949058,24.166793
"809",120.949211,24.166804
"810",120.944203,24.167004
"811",120.950630,24.167186
"812",120.867033,24.167217
"813",120.867188,24.167300
"814",120.898123,24.168223
"815",120.897869,24.168531
"816",120.897693,24.168731
"817",120.903959,24.169020
"818",120.842184,24.169066
"819",120.834967,24.169166
"820",120.835001,24.169692
"821",120.870103,24.169910
"822",120.905148,24.170055
"823",120.872313,24.170482
"824",120.840372,24.171035
"825",120.895828,24.171239
"826",120.895278,24.171923
"827",120.967033,24.172047
"828",120.894078,24.172671
"829",120.833998,24.172673
"830",120.893774,24.172840
"831",120.877512,24.173056
"832",120.891710,24.173608
"833",120.936351,24.173644
"834",120.879611,24.174075
"835",120.972675,24.174456
"836",120.972967,24.174634
"837",120.884863,24.174697
"838",120.884457,24.174708
"839",120.883390,24.174715
"840",120.932144,24.174781
"841",120.974257,24.175408
"842",120.974365,24.175473
"843",120.838893,24.175456
"844",120.909585,24.176437
"845",120.838962,24.176631
"846",120.838409,24.177139
"847",120.928878,24.178644
"848",120.928529,24.178936
"849",120.839116,24.179919
"850",120.928147,24.180067
"851",120.925366,24.182749
"852",120.925246,24.182885
"853",120.840557,24.182954
"854",120.924834,24.183237
"855",120.924534,24.183466
"856",120.912482,24.183628
"857",120.840620,24.183817
"858",120.984017,24.184226
"859",120.840241,24.184748
"860",120.840290,24.185126
"861",120.988599,24.185982
"862",120.989124,24.186410
"863",120.840479,24.186353
"864",120.988851,24.186494
"865",120.840430,24.186530
"866",120.989476,24.187007
"867",120.840233,24.187319
"868",120.915226,24.187385
"869",120.991350,24.189428
"870",120.991426,24.189758
"871",120.867037,24.190231
"872",120.849737,24.190221
"873",120.861620,24.190335
"874",120.849161,24.190352
"875",120.851038,24.190392
"876",120.847547,24.190316
"877",120.839817,24.190489
"878",120.846690,24.190513
"879",120.852480,24.190866
"880",120.843909,24.190924
"881",120.852839,24.191079
"882",120.860148,24.191152
"883",120.992342,24.191792
"884",120.858007,24.191901
"885",120.857806,24.192256
"886",120.839410,24.192390
"887",120.839306,24.192701
"888",120.839094,24.194624
"889",120.838993,24.196260
"890",120.856314,24.197790
"891",120.856711,24.198152
"892",120.875864,24.198943
"893",120.872866,24.199056
"894",120.871798,24.198709
"895",120.999987,24.199196
"896",120.871939,24.199719
"897",120.839817,24.200310
"898",120.870898,24.200428
"899",120.839774,24.200756
"900",121.011132,24.202349
"901",121.009998,24.202336
"902",120.865813,24.202381
"903",120.857559,24.202703
"904",121.008596,24.202834
"905",120.839787,24.202821
"906",121.005269,24.202978
"907",121.007428,24.203126
"908",120.863602,24.203440
"909",120.839684,24.203530
"910",120.863289,24.203646
"911",120.839668,24.203650
"912",120.863475,24.204148
"913",120.839391,24.205838
"914",120.863424,24.205727
"915",120.839408,24.206295
"916",121.012166,24.207690
"917",121.017699,24.208376
"918",121.017403,24.208433
"919",121.018341,24.208594
"920",121.012984,24.208828
"921",121.016107,24.209457
"922",121.019917,24.209507
"923",121.021180,24.209898
"924",121.021465,24.209993
"925",121.014596,24.210059
"926",121.022171,24.210188
"927",120.838988,24.212411
"928",120.838495,24.213930
"929",120.838203,24.215874
"930",120.837609,24.217383
"931",120.837698,24.217424
"932",120.837516,24.217682
"933",120.837611,24.217708
"934",120.837570,24.217838
"935",120.837206,24.218656
"936",120.837309,24.218681
"937",120.837094,24.219559
"938",120.837193,24.219561
"939",120.837197,24.220036
"940",120.837104,24.220669
"941",120.837203,24.220682
"942",120.837116,24.221545
"943",120.837371,24.223652
"944",120.837473,24.223667
"945",120.819361,24.222908
"946",120.819202,24.223930
"947",120.837458,24.224265
"948",120.819030,24.224776
"949",120.837580,24.225129
"950",120.818787,24.225294
"951",120.837790,24.226445
"952",120.818152,24.226644
"953",121.244639,24.223637
"954",121.241534,24.226735
"955",120.817808,24.227658
"956",120.817488,24.228518
"957",120.837178,24.228649
"958",120.817450,24.228633
"959",120.837274,24.228693
"960",120.817394,24.228815
"961",120.817156,24.229598
"962",120.817062,24.229860
"963",121.244341,24.230242
"964",120.816840,24.230438
"965",120.836723,24.230748
"966",120.836819,24.230771
"967",120.836509,24.231493
"968",120.836604,24.231517
"969",121.242634,24.233924
"970",121.242533,24.233999
"971",120.835494,24.235021
"972",120.835356,24.235495
"973",121.243475,24.235921
"974",120.814730,24.237009
"975",120.814672,24.237162
"976",120.834773,24.237489
"977",120.814326,24.237817
"978",120.812698,24.237965
"979",120.811042,24.238012
"980",120.809703,24.237924
"981",120.813735,24.238129
"982",121.244771,24.238231
"983",120.834507,24.238416
"984",120.834594,24.238468
"985",120.809517,24.238723
"986",121.245302,24.238681
"987",120.834312,24.239095
"988",120.834404,24.239128
"989",120.809374,24.239328
"990",121.245820,24.239474
"991",120.809231,24.239905
"992",120.834046,24.240013
"993",120.834143,24.240033
"994",121.251993,24.239252
"995",121.252529,24.240020
"996",120.809100,24.240409
"997",121.246384,24.240553
"998",120.812351,24.240637
"999",120.812339,24.240669
"1000",120.808854,24.241094
"1001",120.812153,24.241159
"1002",120.833769,24.241368
"1003",120.807807,24.240300
"1004",120.808690,24.241483
"1005",121.246143,24.241504
"1006",120.808910,24.241771
"1007",120.809041,24.241943
"1008",120.809434,24.242462
"1009",120.809578,24.242653
"1010",120.809842,24.243031
"1011",121.246302,24.243215
"1012",120.810527,24.244000
"1013",121.245808,24.244071
"1014",121.245863,24.244132
"1015",120.808268,24.244252
"1016",120.833039,24.244349
"1017",120.833131,24.244381
"1018",121.245406,24.244425
"1019",121.245316,24.244457
"1020",120.843482,24.244575
"1021",120.808292,24.244575
"1022",121.245459,24.244544
"1023",121.245344,24.244579
"1024",120.839380,24.244784
"1025",120.839075,24.244764
"1026",120.842824,24.244794
"1027",120.837796,24.244795
"1028",120.839683,24.244809
"1029",120.837638,24.244811
"1030",120.840086,24.244850
"1031",120.842637,24.244856
"1032",120.808302,24.244822
"1033",120.842596,24.244868
"1034",120.840545,24.244893
"1035",120.842331,24.244933
"1036",120.841958,24.244973
"1037",120.835531,24.245152
"1038",120.832674,24.245220
"1039",120.808279,24.245264
"1040",120.808261,24.245437
"1041",120.808249,24.245697
"1042",120.834550,24.245883
"1043",120.832232,24.246239
"1044",120.832331,24.246270
"1045",120.832135,24.246425
"1046",121.228717,24.246537
"1047",121.228708,24.246488
"1048",120.831813,24.246912
"1049",120.831617,24.247161
"1050",120.831775,24.247181
"1051",120.831485,24.247330
"1052",120.808633,24.247705
"1053",121.242835,24.247664
"1054",121.242893,24.247671
"1055",120.830949,24.247855
"1056",120.808844,24.248545
"1057",120.808932,24.248908
"1058",120.809332,24.248985
"1059",121.248477,24.249057
"1060",120.829369,24.249344
"1061",120.829453,24.249421
"1062",120.809102,24.249616
"1063",121.162579,24.249926
"1064",120.828741,24.250116
"1065",121.099691,24.250295
"1066",120.839373,24.250993
"1067",120.838485,24.250977
"1068",120.837889,24.251005
